Wall time,Step,Value
1704789949.5737884,5300,464.4345703125
1704789952.3865132,5600,467.0537109375
1704789977.1939733,8200,465.441162109375
1704789999.0679533,10500,461.510986328125
1704790068.894172,17800,442.17138671875
1704790127.5910752,24000,443.99627685546875
1704790132.4767034,24500,435.4798278808594
1704790152.5258284,26600,435.9404296875
1704790172.492244,28400,438.4432067871094
1704790207.8884435,31900,431.09130859375
1704790209.6975539,32100,434.278076171875
1704790217.9639883,32900,429.2338562011719
1704790367.1176555,48500,427.44793701171875
1704790427.0120628,54700,418.8958435058594
1704790468.9741623,59000,418.525634765625
1704790475.6814933,59700,413.4394226074219
1704790521.6092484,64500,417.0385437011719
1704790534.0798545,65800,421.56787109375
1704790556.8741946,68200,417.6260986328125
1704790597.783938,72500,415.888671875
1704790605.5059083,73300,412.1851501464844
1704790665.2681868,79600,411.2799072265625
1704790681.3938005,81300,410.2696533203125
1704790687.4523535,81900,407.5767822265625
1704790714.280689,84700,404.6551208496094
1704790845.3967984,98200,405.6812438964844
1704790886.659255,102500,402.35662841796875
1704790936.882271,107700,393.54290771484375
1704790973.4841516,111500,393.85888671875
1704791046.176372,119100,392.6234130859375
1704791125.489067,127200,387.636962890625
1704791179.0844626,132700,382.83392333984375
1704791181.8812501,133000,375.2129821777344
1704791195.367823,134400,390.8778076171875
1704791199.3105412,134800,384.5695495605469
1704791245.8171463,139600,383.1595153808594
1704791252.6614318,140300,374.88177490234375
1704791295.1987646,144700,371.9090270996094
1704791324.6246543,147700,370.52923583984375
1704791380.302745,153400,367.0475769042969
1704791408.6789968,156300,375.0762634277344
1704791423.9870543,157900,369.966552734375
1704791439.5702055,159500,369.27752685546875
1704791544.086359,170200,366.18505859375
1704791585.9820352,174500,365.8133544921875
1704791588.847279,174800,361.7665710449219
1704791692.9016192,185500,347.3649597167969
1704791714.1902547,187700,352.88592529296875
1704791725.127503,188800,357.1474609375
1704791764.19449,192800,356.31475830078125
1704791780.604459,194500,348.7567138671875
1704791793.3770058,195800,347.98651123046875
1704791879.28732,204700,342.24310302734375
1704791938.259636,210700,340.6932067871094
1704792028.1170254,219800,343.7327880859375
1704792040.699627,221000,339.3454284667969
1704792071.7866936,224200,339.0352478027344
1704792077.5081584,224800,335.4584655761719
1704792101.6852846,227300,333.17974853515625
1704792145.4711328,231800,330.39520263671875
1704792225.0890875,240000,335.1279602050781
1704792270.788666,244700,327.8997802734375
1704792287.4826312,246400,327.8387451171875
1704792289.4436994,246600,328.58612060546875
1704792294.3822806,247100,325.757568359375
1704792319.3418155,249600,327.94232177734375
1704792320.438801,249700,327.3046875
1704792332.506971,250900,331.09124755859375
1704792337.4160168,251400,324.61419677734375
1704792365.874012,254300,317.4847106933594
1704792380.2736366,255800,328.2283630371094
1704792520.3551393,269600,317.4408264160156
1704792573.6657374,275100,313.42578125
1704792795.4606054,297800,303.548828125
1704792864.0002072,304900,297.15887451171875
1704792867.0101826,305200,296.6403503417969
1704792923.3011384,311000,295.2762145996094
1704792982.921931,317200,291.3880615234375
1704793049.2915545,324100,292.21307373046875
1704793064.545761,325500,284.7333984375
1704793066.5668747,325700,290.09722900390625
1704793067.580494,325800,284.82965087890625
1704793124.3944738,331600,281.38818359375
1704793294.5868347,349100,282.1326904296875
1704793429.9020798,362900,272.97216796875
1704793431.7731287,363100,273.7085266113281
1704793481.4832153,368100,265.13531494140625
1704793550.2431629,375200,261.77496337890625
1704793602.3996315,380400,260.7921142578125
1704793623.1111984,382500,259.905029296875
1704793629.8020663,383200,265.437744140625
1704793735.1024969,393900,263.7822265625
1704793762.4190063,396700,255.05601501464844
1704793789.6845982,399500,255.9723358154297
1704793840.2343118,404700,251.4042205810547
1704793900.3767927,410900,248.71173095703125
1704793995.0796158,420700,243.5106658935547
1704794025.272197,423800,244.42137145996094
1704794030.0741663,424300,242.2703857421875
1704794115.6902168,432800,238.60321044921875
1704794117.7275505,433000,238.420166015625
1704794196.2993872,441100,231.96165466308594
1704794287.7835126,450300,230.38519287109375
1704794304.2734618,452000,230.44126892089844
1704794324.889966,454100,228.927001953125
1704794455.9796438,467500,222.92922973632812
1704794459.884344,467900,222.12069702148438
1704794468.3369448,468700,220.84288024902344
1704794578.193592,479900,215.92881774902344
1704794591.9033778,481300,217.1831512451172
1704794629.5959034,485100,214.2259979248047
1704794641.3992565,486300,211.05120849609375
1704794682.4913552,490500,210.65914916992188
1704794757.8183224,498200,206.0732879638672
1704794835.7850194,506100,204.09423828125
1704794837.6688745,506300,202.67681884765625
1704794891.0973413,511700,203.08514404296875
1704794918.4188397,514500,200.72882080078125
1704795020.9947135,525000,197.40928649902344
1704795126.1041653,535600,192.17236328125
1704795139.7743025,537000,189.1904754638672
1704795199.0860777,543100,184.7131805419922
1704795323.2934406,556000,183.11941528320312
1704795450.382551,569000,172.97213745117188
1704795493.5043054,573400,174.89097595214844
1704795577.1873827,581900,167.72544860839844
1704795596.819302,583900,171.0626678466797
1704795632.2937708,587500,167.80030822753906
1704795639.1095881,588200,164.20494079589844
1704795674.6119528,591800,166.96258544921875
1704795695.3888175,593900,166.61172485351562
1704795757.70008,600100,163.68701171875
1704795777.5716705,602100,162.32179260253906
1704795888.407411,613200,157.31692504882812
1704795897.9683948,614200,158.11099243164062
1704795966.2163687,621100,153.62271118164062
1704795978.682277,622400,153.2672119140625
1704795984.5726066,623000,153.69720458984375
1704795997.2079406,624300,153.94442749023438
1704796052.4840937,630000,151.41934204101562
1704796074.3892977,632300,151.105224609375
1704796136.1777494,638700,143.7086639404297
1704796278.7733643,653100,143.0573272705078
1704796331.0015972,658500,140.7369842529297
1704796359.0805593,661400,141.27667236328125
1704796411.3974304,666800,135.6019287109375
1704796449.9895623,670700,137.76629638671875
1704796452.8932414,671000,134.076416015625
1704796464.483387,672200,135.07806396484375
1704796494.8025768,675300,133.81370544433594
1704796605.3892026,686500,129.67962646484375
1704796714.007017,697700,123.5198974609375
1704796739.5822964,700300,123.89482116699219
1704796852.1948571,711700,118.97673797607422
1704796860.2009835,712500,121.89430236816406
1704796900.3716934,716600,119.19219207763672
1704796992.209,725800,116.00521087646484
1704797054.4048858,732200,113.52186584472656
1704797101.1899056,737000,111.29913330078125
1704797124.415564,739300,112.62010192871094
1704797190.8166962,746100,108.93156433105469
1704797200.715485,747100,108.6029052734375
1704797203.7846873,747400,109.93223571777344
1704797218.4656427,748900,109.32481384277344
1704797251.7175653,752200,107.62016296386719
1704797431.4904482,770400,101.06826782226562
1704797497.177442,777100,99.16527557373047
1704797524.3866565,779900,98.93798828125
1704797534.498536,780900,98.46044921875
1704797569.55031,784400,96.7163314819336
1704797726.9103332,800200,93.0608139038086
1704797801.242662,807700,91.91172790527344
1704797915.4928994,819100,89.29890441894531
1704797955.7770832,823200,86.10250091552734
1704798065.651866,834500,83.15736389160156
1704798095.6196246,837400,83.1170883178711
1704798100.72836,837900,83.08087158203125
1704798109.814477,838800,83.2472915649414
1704798199.5835998,847800,80.60374450683594
1704798202.6019704,848100,81.27032470703125
1704798230.2254226,850900,80.39727783203125
1704798240.2887592,851900,81.13734436035156
1704798331.3747318,861200,79.62684631347656
1704798364.4707463,864600,76.67486572265625
1704798424.5133824,870600,77.23118591308594
1704798546.8753726,883000,74.1184310913086
1704798605.6923385,888900,72.26438903808594
1704798631.2908976,891500,71.95155334472656
1704798634.1836421,891800,70.04258728027344
1704798654.8066206,893900,70.78450012207031
1704798661.9028516,894600,72.69902801513672
1704798719.5074456,900400,68.82070922851562
1704798725.635434,901000,68.38987731933594
1704798781.002268,906600,67.6002197265625
1704798986.2894714,927100,63.88582992553711
1704799042.5126772,932700,62.80529022216797
1704799074.3205907,935900,63.9669189453125
1704799160.9724221,944600,61.506736755371094
1704799194.6075256,947900,60.48748779296875
1704799275.0093117,955800,59.0164794921875
1704799281.81884,956500,58.97704315185547
1704799295.1927109,957800,59.25593185424805
1704799354.4974847,963800,58.64196014404297
1704799384.8419602,966800,57.781761169433594
1704799407.876229,969100,57.54210662841797
1704799425.8018034,970900,57.460205078125
1704799571.8295646,985400,54.570640563964844
1704799636.0919967,991800,54.782371520996094
1704799788.898237,1006900,51.08348846435547
1704799814.87952,1009500,51.44652557373047
1704800007.3003333,1028700,47.53278732299805
1704800014.0726225,1029400,47.216697692871094
1704800126.434406,1040700,46.26567077636719
1704800129.730299,1041000,46.84258270263672
1704800152.2094686,1043100,46.87522888183594
1704800211.2285674,1049000,45.68896484375
1704800253.62443,1053300,44.297203063964844
1704800338.5873463,1061800,43.57505798339844
1704800369.5218787,1064900,43.47361755371094
1704800386.356493,1066500,43.585994720458984
1704800403.4993775,1068200,42.72544479370117
1704800442.804817,1072200,41.96082305908203
1704800488.4113235,1076800,41.67633819580078
1704800489.3019204,1076900,41.65425109863281
1704800511.7231355,1079100,41.85028076171875
1704800549.0012534,1082600,41.69483184814453
1704800575.4066994,1085200,40.896697998046875
1704800584.176194,1086100,40.11306381225586
1704800635.6243389,1091300,38.8056640625
1704800638.6699598,1091600,37.99694061279297
1704800673.0043314,1095000,36.93622589111328
1704800677.4461014,1095400,37.417236328125
1704800701.2864227,1097700,37.587581634521484
1704800707.1021118,1098300,36.602745056152344
1704800709.0960279,1098500,37.0494384765625
1704800754.7774212,1103100,35.966163635253906
1704800836.7086742,1111300,35.96073532104492
