Wall time,Step,Value
1704185559.6107717,145,4.0
1704185563.1771708,580,-6.5
1704186102.467895,290,-7.0
1704186130.1982148,3625,-2.5199999809265137
1704186213.301989,12905,-4.247190952301025
1704186225.3333087,14210,-4.0204081535339355
1704186307.5459576,23200,-3.4700000286102295
1704186313.8139634,23925,-3.190000057220459
1704186341.5350392,26970,-3.890000104904175
1704186365.2908375,29580,-3.6500000953674316
1704186411.3328393,34655,-3.140000104904175
1704186414.109712,34945,-3.240000009536743
1704186424.6674767,36105,-3.75
1704186560.08783,51040,-3.299999952316284
1704186611.2509255,56695,-3.759999990463257
1704186630.088988,58725,-3.059999942779541
1704186711.7070808,67715,-2.6500000953674316
1704186747.5931067,71630,-3.200000047683716
1704186768.5194764,73950,-3.6600000858306885
1704186777.758406,74965,-3.509999990463257
1704186840.6196947,81925,-3.680000066757202
1704186857.8155727,83810,-3.309999942779541
1704186876.2997715,85840,-3.759999990463257
1704186889.2731314,87290,-3.869999885559082
1704186946.388341,93525,-3.75
1704186956.7705858,94685,-3.630000114440918
1704187021.51708,101790,-3.130000114440918
1704187040.4751747,103820,-4.039999961853027
1704187062.4373574,106285,-3.990000009536743
1704187070.3748798,107155,-4.519999980926514
1704187106.7264311,111215,-3.950000047683716
1704187249.5479717,127020,-3.690000057220459
1704187283.3961203,130790,-4.340000152587891
1704187328.6724527,135720,-4.5
1704187340.5895228,137025,-4.380000114440918
1704187408.8443353,144565,-3.6600000858306885
1704187458.5416427,150075,-3.509999990463257
1704187558.848701,161095,-3.7699999809265137
1704187666.4011164,172840,-3.740000009536743
1704187738.4051323,180815,-3.319999933242798
1704187742.1929288,181250,-3.299999952316284
1704187760.5687447,183280,-3.299999952316284
1704187765.7324967,183860,-3.059999942779541
1704187829.1768823,190820,-3.6700000762939453
1704187838.4404824,191835,-3.490000009536743
1704187896.6212165,198215,-3.200000047683716
1704187936.181987,202565,-2.640000104904175
1704188010.8086603,210830,-2.25
1704188048.6662464,215035,-0.9800000190734863
1704188069.5116086,217355,-2.0899999141693115
1704188090.1541157,219675,-2.700000047683716
1704188163.50164,227795,-5.130000114440918
1704188230.8810925,235190,-4.239999771118164
1704188254.8658884,237800,-4.590000152587891
1704188266.5954356,239105,-4.199999809265137
1704188285.0738804,241135,-4.139999866485596
1704188287.596895,241425,-4.25
1704188291.4753506,241860,-4.360000133514404
1704188350.3550477,248240,-5.409999847412109
1704188432.5991864,257375,-5.079999923706055
1704188444.2206101,258680,-4.619999885559082
1704188461.291475,260565,-3.9700000286102295
1704188465.4598837,261000,-3.890000104904175
1704188475.8414207,262160,-4.190000057220459
1704188527.750227,267960,-3.009999990463257
1704188550.1579244,270425,-2.4600000381469727
1704188567.5065765,272310,-2.5299999713897705
1704188638.7798657,280140,-3.9800000190734863
1704188685.1323879,285215,-3.5899999141693115
1704188738.7111971,291160,-3.0899999141693115
1704188763.436191,293915,-2.190000057220459
1704188882.705442,307110,-3.9800000190734863
1704188898.232439,308850,-3.8499999046325684
1704188913.9308176,310590,-4.650000095367432
1704188940.205247,313490,-3.6700000762939453
1704188948.2477975,314360,-3.7200000286102295
1704188974.6172256,317260,-2.7699999809265137
1704188980.9918513,317985,-2.569999933242798
1704189040.4991887,324510,-3.119999885559082
1704189056.062302,326250,-3.799999952316284
1704189102.076096,331325,-3.430000066757202
1704189148.453901,336400,-2.859999895095825
1704189149.5707095,336545,-2.809999942779541
1704189210.2280638,343215,-2.890000104904175
1704189232.229672,345680,-3.430000066757202
1704189234.8855238,345970,-3.299999952316284
1704189241.2515612,346695,-4.079999923706055
1704189274.5559475,350320,-4.389999866485596
1704189275.6402085,350465,-4.570000171661377
1704189291.561858,352205,-4.840000152587891
1704189298.0943272,352930,-4.570000171661377
1704189335.9419365,357135,-4.230000019073486
1704189355.9089012,359310,-4.670000076293945
1704189363.4926033,360180,-4.449999809265137
1704189537.4570959,379320,-2.7200000286102295
1704189609.511726,387295,-2.2100000381469727
1704189628.2063897,389325,-1.8200000524520874
1704189674.1628504,394400,-2.1500000953674316
1704189814.9433472,409915,-1.1399999856948853
1704189908.280485,420210,-0.03999999910593033
1704189965.691145,426590,0.4000000059604645
1704190001.4032578,430505,-0.8600000143051147
1704190005.1734505,430940,-0.44999998807907104
1704190081.6569972,439350,-1.9900000095367432
1704190163.37529,448340,-1.3899999856948853
1704190209.886281,453415,-1.899999976158142
1704190254.4751132,458345,-2.819999933242798
1704190273.0465875,460375,-1.9900000095367432
1704190275.6021338,460665,-1.9600000381469727
1704190277.20073,460810,-2.200000047683716
1704190353.8683782,469220,-1.5
1704190489.763372,484155,-2.569999933242798
1704190544.5796428,490100,-2.4000000953674316
1704190585.2795231,494595,-2.119999885559082
1704190743.5822935,511995,1.5399999618530273
1704190767.9826741,514605,1.4800000190734863
1704190770.3023832,514895,1.5299999713897705
1704190836.8251836,522145,0.25999999046325684
1704190911.098287,530265,-1.4199999570846558
1704190930.78106,532440,-0.8299999833106995
1704190999.4596846,539980,-1.3300000429153442
1704191027.413332,543025,-0.27000001072883606
1704191036.5481853,544040,0.23999999463558197
1704191177.5913045,559555,0.9700000286102295
1704191215.3183684,563615,0.5699999928474426
1704191252.7862184,567675,0.5299999713897705
1704191321.9602952,575215,0.6399999856948853
1704191404.684687,584205,2.9800000190734863
1704191419.2901413,585800,2.5299999713897705
1704191535.319238,598415,2.7200000286102295
1704191543.0772994,599285,3.0899999141693115
1704191576.8306282,602910,3.4100000858306885
1704191583.449627,603635,2.880000114440918
1704191624.7115514,608130,2.130000114440918
1704191679.2209556,614075,0.4300000071525574
1704191696.5737534,615960,1.090000033378601
1704191699.2239115,616250,1.159999966621399
1704191806.9487298,627995,2.1700000762939453
1704191929.858531,641335,1.9600000381469727
1704191952.4473047,643800,1.590000033378601
1704191980.2400231,646845,2.109999895095825
1704192110.8469453,661055,1.840000033378601
1704192158.6087842,666275,1.2799999713897705
1704192163.9609425,666855,0.6399999856948853
1704192174.8312612,668015,0.8799999952316284
1704192273.3212276,678745,2.549999952316284
1704192324.0583868,684255,3.359999895095825
1704192342.4811575,686285,3.4600000381469727
1704192393.2365673,691795,4.289999961853027
1704192409.2632923,693535,2.9600000381469727
1704192465.1959493,699625,2.7699999809265137
1704192556.340518,709485,2.9100000858306885
1704192568.3597834,710790,2.6600000858306885
1704192572.6101289,711225,2.680000066757202
1704192673.1223896,722245,4.78000020980835
1704192675.7689214,722535,4.550000190734863
1704192747.7070248,730365,4.980000019073486
1704192785.1114316,734425,4.489999771118164
1704192924.8493097,749650,5.130000114440918
1704193044.664337,762700,5.119999885559082
1704193065.8687134,765020,5.300000190734863
1704193084.549211,767050,5.760000228881836
1704193165.1184142,775895,6.860000133514404
1704193292.0905228,789670,6.260000228881836
1704193294.6987064,789960,5.900000095367432
1704193337.6614287,794600,6.920000076293945
1704193388.5217083,800110,6.940000057220459
1704193491.569921,811275,5.900000095367432
1704193512.045262,813450,6.150000095367432
1704193571.1153495,819830,5.610000133514404
1704193683.9724739,832155,7.429999828338623
1704193706.9777834,834620,6.420000076293945
1704193710.826285,835055,6.230000019073486
1704193756.1197655,839985,5.349999904632568
1704193758.8048062,840275,5.429999828338623
1704193768.0560477,841290,5.610000133514404
1704193816.2048607,846510,8.359999656677246
1704193843.839131,849555,9.34000015258789
1704193875.5405114,853035,10.600000381469727
1704193926.0783474,858545,9.109999656677246
1704193952.8169744,861445,9.15999984741211
1704194100.2734408,877540,8.279999732971191
1704194113.3962696,878990,8.699999809265137
1704194179.8939576,886240,8.899999618530273
1704194205.0125902,888995,9.710000038146973
1704194222.2998202,890880,8.609999656677246
1704194230.4359612,891750,8.489999771118164
1704194247.9638357,893635,9.220000267028809
1704194324.8688061,901900,11.270000457763672
1704194355.7439487,905235,12.399999618530273
1704194362.4535885,905960,12.760000228881836
1704194394.6761544,909440,12.130000114440918
1704194442.2519212,914515,11.09000015258789
1704194474.5324652,917995,11.180000305175781
1704194604.5481358,931915,12.199999809265137
1704194636.459725,935395,12.609999656677246
1704194709.8140128,943225,14.770000457763672
1704194748.816961,947430,15.34000015258789
1704194821.4939246,955260,17.639999389648438
1704194874.2360058,960915,17.110000610351562
1704194878.2393281,961350,16.479999542236328
1704194894.2650402,963090,17.06999969482422
1704194935.8816123,967585,16.3700008392334
1704195076.149561,982665,19.270000457763672
1704195087.1974657,983825,19.899999618530273
1704195107.5457833,986000,19.700000762939453
1704195237.8462226,1000065,19.309999465942383
1704195273.129455,1003835,19.260000228881836
1704195302.8039732,1007025,19.010000228881836
1704195426.4837291,1020365,23.520000457763672
1704195437.7336586,1021525,23.84000015258789
1704195492.6398137,1027470,22.1299991607666
1704195575.143882,1036315,21.700000762939453
1704195616.8298655,1040810,21.559999465942383
1704195702.751932,1050090,25.1299991607666
1704195727.1627905,1052700,26.84000015258789
1704195740.5736117,1054150,26.15999984741211
1704195741.646783,1054295,25.969999313354492
1704195767.6444943,1057050,26.43000030517578
1704195798.5658808,1060385,25.110000610351562
1704195824.1711133,1063140,25.239999771118164
1704195890.1370816,1070245,26.1299991607666
1704195903.347759,1071695,25.639999389648438
1704195907.7117422,1072130,25.899999618530273
1704195927.9813652,1074305,26.799999237060547
1704195971.998047,1079090,26.010000228881836
1704196104.8552291,1093300,26.020000457763672
1704196151.5826828,1098375,26.969999313354492
1704196209.9298909,1104610,29.170000076293945
1704196217.7546003,1105480,28.670000076293945
1704196307.7615426,1115195,28.239999771118164
1704196346.1003742,1119255,26.020000457763672
1704196359.8896048,1120705,26.829999923706055
1704196406.8960197,1125780,26.639999389648438
1704196496.7554774,1135495,29.559999465942383
1704196539.9411469,1140135,29.079999923706055
1704196619.4138572,1148690,28.219999313354492
1704196666.8791401,1153765,31.139999389648438
1704196681.7213845,1155360,31.299999237060547
1704196698.2835524,1157100,31.549999237060547
1704196721.1166008,1159565,32.52000045776367
1704196874.747919,1176095,34.29999923706055
1704196921.876901,1181170,34.060001373291016
1704196929.9125795,1182040,34.25
1704197022.9694986,1192045,30.479999542236328
1704197082.6034365,1198425,31.360000610351562
1704197122.1195734,1202630,32.68000030517578
1704197128.7962658,1203355,34.7400016784668
1704197141.142641,1204660,35.790000915527344
1704197262.010895,1217710,35.86000061035156
1704197265.9367535,1218145,35.290000915527344
1704197303.6748016,1222205,34.04999923706055
1704197316.9740877,1223655,34.279998779296875
1704197394.745601,1232065,33.95000076293945
1704197441.3911805,1237140,31.56999969482422
1704197485.7111886,1241925,31.09000015258789
1704197487.0012467,1242070,31.15999984741211
1704197567.5908577,1250770,29.600000381469727
1704197733.3787231,1268750,30.709999084472656
1704197737.2611744,1269185,30.780000686645508
1704197812.68205,1277305,34.7599983215332
1704197846.875462,1281075,36.150001525878906
1704197851.1175482,1281510,35.63999938964844
1704197879.283835,1284555,36.4900016784668
1704197888.7113605,1285570,36.20000076293945
1704197966.8488226,1293980,32.619998931884766
1704197975.0149271,1294850,31.610000610351562
1704198050.4276652,1302970,34.66999816894531
1704198061.3447797,1304130,34.5099983215332
1704198281.8556457,1327765,36.83000183105469
1704198291.0577607,1328780,36.25
1704198327.537983,1332695,37.04999923706055
1704198403.2726955,1340815,37.2599983215332
1704198446.4640787,1345455,37.13999938964844
1704198533.5797288,1354735,32.13999938964844
1704198537.47863,1355170,33.189998626708984
1704198564.3557932,1358070,31.68000030517578
1704198573.8684878,1359085,31.559999465942383
1704198608.6826527,1362855,33.68000030517578
1704198702.5795844,1373005,37.209999084472656
1704198714.8368456,1374310,38.220001220703125
1704198724.1876836,1375325,37.779998779296875
1704198741.9080138,1377210,36.45000076293945
1704198771.7634268,1380400,38.900001525878906
1704198823.1057913,1385910,40.31999969482422
1704198863.4022174,1390260,39.65999984741211
1704198894.229175,1393595,37.7400016784668
1704198918.7786326,1396205,36.970001220703125
1704199012.683128,1406355,34.709999084472656
1704199113.830428,1417230,36.939998626708984
1704199167.5675426,1423030,35.70000076293945
1704199199.7326632,1426510,33.689998626708984
1704199286.7468102,1435935,36.029998779296875
1704199391.424264,1447245,38.06999969482422
1704199398.1276953,1447970,38.90999984741211
1704199402.3849633,1448405,39.220001220703125
1704199437.5377166,1452175,41.56999969482422
1704199550.6988416,1464355,39.31999969482422
1704199573.7867422,1466820,39.34000015258789
1704199669.423475,1477115,44.619998931884766
1704199696.5596867,1480015,43.5
1704199705.8342903,1481030,43.36000061035156
1704199858.0622313,1497415,41.720001220703125
1704199862.0081093,1497850,41.33000183105469
1704199890.148606,1500895,42.15999984741211
1704199970.4529152,1509450,40.369998931884766
1704199984.150169,1510900,42.849998474121094
1704199989.0541046,1511480,41.93000030517578
1704200028.2963176,1515685,39.09000015258789
1704200072.7137623,1520470,39.72999954223633
1704200143.6332455,1528010,39.58000183105469
1704200166.6210537,1530475,41.16999816894531
1704200185.7130191,1532505,42.27000045776367
1704200207.3193073,1534825,42.04999923706055
